UID,name,Price,DM,Ash,CP,A Fraction,B Fraction,C Fraction,Kd of B,RUP,dRUP,Soluble Protein,ADIP,NDIP,ADF,NDF,NDFD48,Lignin,Starch,WSC,Total Fatty Acids,Crude Fat,"DE, Base",Ca,P,Mg,K,Na,Cl,S,Cu,Fe,Mn,Zn,Mo,Co,Cr,I,Se,"Arg, % CP","His, % CP","Ile, % CP","Leu, % CP","Lys, % CP","Met, % CP","Phe, % CP","Thr, % CP","Trp, % CP","Val, % CP","TFA, % DM","C12:0, % TFA","C14:0, % TFA","C16:0, % TFA","C16:1, % TFA","C18:0, % TFA","C18:1 trans, % TFA","C18:1 cis, % TFA","C18:2, % TFA","C18:3, % TFA","Other Fatty Acids, % TFA"
NRC16F93,"Legume hay, mid-maturity",160,88.14,10.76,20.75,45,46,9,17.83,21.75,65,34.61,0.74,1.85,32.07,41.11,52.4,6.64,1.51,8.97,1.5,2.08,2.63,1.4,0.28,0.32,2.39,0.21,0.76,0.18,9.69,421.33,38.49,26.22,2.53,0,0.52,0,0.19,4.2,1.93,3.92,6.69,4.81,1.33,4.59,4.03,1.38,4.97,1.5,1.36,0.85,25.01,2.23,4.01,0.35,2.43,18.49,36.79,8.47
NRC16F1071,"Corn grain dry, coarse grind",165,86.91,1.5,8.51,23,70,7,5.35,43.24,73.07,22.08,0.52,0.91,3.55,9.76,62.33,1.37,70.37,2.88,3.84,3.84,3.09,0.04,0.31,0.13,0.56,0.02,0.1,0.1,2.07,39.03,7.15,23.43,0.91,0,0.05,0,0.07,4.75,2.88,3.37,12,3,2,4.87,3.62,0.75,4.63,3.84,,2.33,13.21,0.12,1.99,,24.09,55.7,1.62,0.94
NRC16F44,"Corn grain dry, medium grind",166,86.91,1.5,8.51,23,70,7,5.35,43.24,73.07,22.08,0.52,0.91,3.55,9.76,62.33,1.37,70.37,2.88,3.84,3.84,3.45,0.04,0.31,0.13,0.56,0.02,0.1,0.1,2.07,39.03,7.15,23.43,0.91,0,0.05,0,0.07,4.75,2.88,3.37,12,3,2,4.87,3.62,0.75,4.63,3.84,,2.33,13.21,0.12,1.99,,24.09,55.7,1.62,0.94
NRC16F1070,"Corn grain dry, fine grind",170,86.91,1.5,8.51,23,70,7,5.35,43.24,73.07,22.08,0.52,0.91,3.55,9.76,62.33,1.37,70.37,2.88,3.84,3.84,3.54,0.04,0.31,0.13,0.56,0.02,0.1,0.1,2.07,39.03,7.15,23.43,0.91,0,0.05,0,0.07,4.75,2.88,3.37,12,3,2,4.87,3.62,0.75,4.63,3.84,,2.33,13.21,0.12,1.99,,24.09,55.7,1.62,0.94
NRC16F144,Soybean hulls,178,90.37,5.18,11.88,26,70,4,6.4,37.31,68,26.27,1.15,3.65,47.94,66.75,88.11,2.57,0.98,2.75,1.61,1.89,2.74,0.64,0.13,0.28,1.4,0.01,0.04,0.12,7.58,463.85,20.51,47.27,1.05,0,0.4,0,0.2,5.21,2.61,3.7,6.3,6.3,1.09,3.87,3.61,1.34,4.37,1.61,,1.47,16.22,0.28,7.03,0.7,15.9,42.66,13.11,2.64
NRC16F61,"Distillers grains and solubles, dried, low fat",185,89.95,5.34,30.97,26,62,12,5,45.52,75,20.06,3.15,3.87,14.82,30.85,47.15,3.53,6.11,7.96,7.9,8.9,3.41,0.11,0.89,0.34,1.21,0.24,0.22,0.71,5.63,101.66,18.51,69.95,1.4,0,0.16,0,0.4,4.3,2.66,3.65,11.67,2.81,1.98,4.87,3.73,0.8,4.87,7.9,0.12,0.14,14.05,0.13,2.39,0.01,24.57,56.11,1.68,0.81
NRC16F59,"Distillers grains and solubles, dried, high fat",191,89.06,5.39,30.2,26,62,12,5,45.52,75,15.67,2.85,3.83,14.58,32.11,71.53,4.17,4.51,4.56,11.39,12.54,3.46,0.12,0.88,0.34,1.26,0.21,0.19,0.67,4.15,94.07,17.79,64.13,1.11,0,0.16,0,0.4,4.3,2.66,3.65,11.67,2.81,1.98,4.87,3.73,0.8,4.87,11.39,0.12,0.14,14.05,0.13,2.39,0.01,24.57,56.11,1.68,0.81
NRC16F60,"Distillers grains and solubles, dried, high protein",199,91.07,4.04,38.99,26,62,12,5,45.52,75,16.58,3.97,4.45,17.71,37.6,62.67,5.83,6.2,5.42,6.56,7.56,3.3,0.08,0.64,0.23,0.75,0.21,0.2,0.64,6.65,98.92,21.26,52.61,1.38,0,0.16,0,0.4,4.3,2.66,3.65,11.67,2.81,1.98,4.87,3.73,0.8,4.87,6.56,0.12,0.14,14.05,0.13,2.39,0.01,24.57,56.11,1.68,0.81
NRC16F40,"Corn gluten feed, dry",208,89.16,7.5,23.19,51,39,10,7.03,30.01,79.13,45.71,4.44,9.88,11.52,35.68,74.11,2.31,15.51,5.83,3.38,3.91,3.19,0.07,1.07,0.43,1.47,0.33,0.29,0.5,5.57,146.06,21.24,73.62,1.24,0,0,0,0.19,4.58,2.94,2.99,8.46,3.08,1.59,3.48,3.58,0.5,4.73,3.38,0.03,0.99,23.94,0.2,2.51,,17.19,50.48,3.21,1.44
NRC16F28,"Canola meal, solvent extracted",275,89.13,7.88,41.49,22,71,7,10.54,32.12,74,25,2.5,4.75,20.34,28.96,49.38,8.51,1.57,11,2.51,3.51,3.1,0.79,1.15,0.62,1.36,0.08,0.1,0.77,5.78,253.25,73.33,64.39,1.12,0,0,0,1.01,5.93,2.66,3.93,6.92,5.51,1.97,4,4.43,1.34,5.11,2.51,,0.19,9.76,0.9,2.24,0.61,45.21,31.45,7.71,1.92
NRC16F14,"Beet pulp, dry",343,92.3,5.24,9.92,5,90,5,2,70.61,80,20.58,1.3,5.46,28.25,46.85,79,3.88,0.64,5.7,0.63,1.06,2.74,0.77,0.08,0.26,0.49,0.11,0.08,0.2,8.1,588.18,78.41,20.67,1,0,1.2,0,0.14,3.73,3.13,3.49,5.9,5.78,1.57,3.61,4.46,1.08,5.54,0.63,,,26.66,0.39,0.89,0.14,11.55,49.83,6.35,4.19
NRC16F134,"Soybean meal, solvent extracted, 48% CP",348,89.27,7.24,52.64,18,80,2,9,32.75,91,23.12,0.63,1,7.19,11.07,85.67,1.08,1.88,12.95,1.08,1.82,3.97,0.4,0.74,0.33,2.42,0.02,0.06,0.41,16.06,187.02,41.37,52.92,4.32,0,0.21,0,0.2,7.29,2.64,4.54,7.63,6.16,1.38,5.03,3.95,1.38,4.76,1.08,,0.83,17.28,,4.45,0.43,13.22,54.16,8.43,1.2
NRC16F148,"Soybeans, whole raw",397,89.11,5.31,39.98,26,74,0,9.31,28.46,89.5,42.08,0.66,1.66,6.99,11.88,84,1.52,4.17,9,16.99,20.73,4.31,0.27,0.65,0.27,2.03,0.01,0.04,0.34,11.86,102.79,26.01,50.93,0,0,0.07,0,0.3,7.25,2.61,4.53,7.58,6.14,1.33,5.03,3.89,1.33,4.72,16.99,0.58,0.2,11.93,0.08,4.05,,21.99,52.43,7.59,1.17
NRC16F145,"Soybean meal, expellers",400,91.17,6.73,47.6,9,91,0,2.4,63.15,93,14.71,0.91,3.61,10.11,19.59,85,2.06,1.8,11.82,6.12,7.12,3.88,0.34,0.72,0.31,2.24,0.01,0.06,0.4,15.12,195.59,39.34,52.89,2.72,0,0.21,0,0.2,7.29,2.62,4.54,7.59,6.12,1.34,5.05,3.9,1.34,4.73,6.12,,0.07,11.55,0.09,3.71,1.42,18.13,54.77,9.52,0.75
NRC16F98,"Meat and bone meal, porcine",430,96.06,26.18,56.63,32,42,26,8.81,43.79,61.09,14.95,2.84,11.83,0,0,0,0,0,0,7.45,11.9,3.21,9.29,4.59,0.28,0.91,0.74,0.49,0.51,20.01,451,24.36,159.78,0,0,0,0,0,7.01,1.58,2.57,5.42,4.58,1.25,3.13,2.92,0.54,3.88,7.45,0.08,1.68,29.47,2.41,17.5,1.27,40.43,3.7,0.08,3.38
NRC16F42,Corn gluten meal,630,90.53,2.78,68.52,8,72,20,2.51,69.36,91.63,7.51,1.11,1.96,3.71,6.83,73,1.79,16.4,1.63,1.44,2.44,4.31,0.04,0.49,0.07,0.22,0.05,0.08,0.97,5.23,122.48,6.13,29.45,1.13,0,0,0,0.34,3.14,2.02,3.98,16.35,1.64,2.38,6.18,3.34,0.54,4.51,1.44,,0.22,13.62,0.08,2.17,,22.22,57.46,2.77,1.47
NRC16F168,Urea,700,99,0,281,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
